"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","10001","20001","20002","20003","30001","30002","40001","40002","50001","50002","50003","70001","70002","70003","70004","70005","70006","80001","80002","90004","90005","90006","90007","90008","90009"
"Aetomylaeus","genus",NA,NA,"Aetomylaeus","Aetomylaeus","Myliobatidae",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aetomylaeus bovinus","species","Aetomylaeus bovinus","Aetomylaeus bovinus","Aetomylaeus","Aetomylaeus","Myliobatidae",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"Aidablennius sphynx","species","Aidablennius sphynx","Aidablennius sphynx","Aidablennius","Aidablennius","Blenniidae",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0
"Alepes djedaba","species","Alepes djedaba","Alepes djedaba","Alepes","Alepes","Carangidae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alopias","genus",NA,NA,"Alopias","Alopias","Alopiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Alopias vulpinus","species","Alopias vulpinus","Alopias vulpinus","Alopias","Alopias","Alopiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Anguilla","genus",NA,NA,"Anguilla","Anguilla","Anguillidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Anthias","genus",NA,NA,"Anthias","Anthias","Serranidae",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"Anthias anthias","species","Anthias anthias","Anthias anthias","Anthias","Anthias","Serranidae",0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
"Aphia minuta","species","Aphia minuta","Aphia minuta","Aphia","Aphia","Gobiidae",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
"Apogon","genus",NA,NA,"Apogon","Apogon","Apogonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0
"Apogon imberbis","species","Apogon imberbis","Apogon imberbis","Apogon","Apogon","Apogonidae",0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
"Apogon pacificus","species","Apogon pacificus","Apogon pacificus","Apogon","Apogon","Apogonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Argyropelecus hemigymnus","species","Argyropelecus hemigymnus","Argyropelecus hemigymnus","Argyropelecus","Argyropelecus","Sternoptychidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
