species_name_fishbase,family_name,origin,IUCN_Global,number_MPAs
Alepes djedaba,Carangidae,RS,LC,1
Atherinomorus forskalii,Atherinidae,RS,NA,4
Callionymus filamentosus,Callionymidae,RS,NA,3
Cheilodipterus novemstriatus,Apogonidae,RS,NA,1
Ctenogobius boleosoma,Gobiidae,A,LC,1
Enchelycore anatina,Muraenidae,A,LC,4
Encrasicholina punctifer,Engraulidae,RS,LC,1
Equulites klunzingeri,Leiognathidae,RS,NA,1
Fistularia commersonii,Fistulariidae,RS,LC,5
Fistularia petimba,Fistulariidae,A,LC,1
Gymnammodytes semisquamatus,Ammodytidae,A,LC,3
Hemiramphus far,Hemiramphidae,RS,NA,2
Herklotsichthys punctatus,Clupeidae,RS,LC,1
Himantura uarnak,Dasyatidae,RS,EN,1
Jaydia smithi,Apogonidae,RS,LC,1
Lagocephalus sceleratus,Tetraodontidae,RS,LC,5
Lagocephalus suezensis,Tetraodontidae,RS,LC,2
Nemipterus randalli,Nemipteridae,RS,LC,1
Ostorhinchus fasciatus,Apogonidae,RS,LC,1
Parexocoetus mento,Exocoetidae,RS,NA,2
Pterois miles,Scorpaenidae,RS,LC,5
Saurida lessepsianus,Synodontidae,RS,LC,1
Scomberomorus commerson,Scombridae,RS,NT,2
Siganus luridus,Siganidae,RS,LC,3
Solea senegalensis,Soleidae,A,DD,2
Synodus synodus,Synodontidae,A,LC,1
Torquigener flavimaculosus,Tetraodontidae,RS,LC,4
Upeneus moluccensis,Mullidae,RS,LC,2
Upeneus pori,Mullidae,RS,LC,5
