"Filter_ID","invasive_richness_Filter_ID"
"DAR.2023.0067",1
"DAR.2023.0901",5
"DAR.2023.0902",6
"DAR.2023.0904",2
"DAR.2023.0905",4
"DAR.2023.0906",5
"DAR.2023.0907",6
"DAR.2023.0908",2
"DAR.2023.0909",2
"DAR.2023.0910",5
"DAR.2023.0911",7
"DAR.2023.0912",4
"DAR.2023.0913",3
"DAR.2023.0914",5
"DAR.2023.0915",4
"DAR.2023.0916",2
"DAR.2023.0917",4
"DAR.2023.0918",1
"DAR.2023.0922",1
"DAR.2023.0924",1
"DAR.2023.0961",1
"DAR.2023.0962",2
"DAR.2024.0281",11
"DAR.2024.0282",12
"DAR.2024.0283",8
"DAR.2024.0284",11
"DAR.2024.0285",13
"DAR.2024.0286",15
"DAR.2024.0320",4
"DAR.2024.0321",3
"DAR.2024.0322",4
"DAR.2024.0323",1
"DAR.2024.0324",5
"DAR.2024.0325",5
"DAR.2024.0344",1
"DAR.2024.0345",1
"DAR.2024.0347",1
"DAR.2024.0348",1
"DAR.2024.0349",2
"SPY223077",1
"SPY231692",1
"SPY231693",1
"SPY231737",1
"SPY231738",1
"SPY231740",1
"SPY231742",1
"SPY231743",1
"SPY231893",1
"SPY231894",1
"SPY232041",1
"SPY232056",1
"SPY232665",1
"SPY233958",1
"SPY234010",1
"SPY2401169",1
