"Var1","Var2","jac_diss_Mean","jac_turn_Mean","jac_nest_Mean"
"20001","10001",0.636363636363636,0.428571428571429,0.207792207792208
"20002","10001",0.826086956521739,0.666666666666667,0.159420289855072
"20003","10001",0.875,0.769230769230769,0.105769230769231
"30001","10001",0.96,0.923076923076923,0.0369230769230769
"30002","10001",1,1,0
"40001","10001",0.95,0.666666666666667,0.283333333333333
"40002","10001",0.95,0.666666666666667,0.283333333333333
"70001","10001",1,1,0
"70004","10001",1,1,0
"70005","10001",1,1,0
"90004","10001",1,1,0
"90006","10001",1,1,0
"90008","10001",1,1,0
"20002","20001",0.416666666666667,0.222222222222222,0.194444444444444
"20003","20001",0.642857142857143,0.545454545454545,0.0974025974025974
"30001","20001",0.714285714285714,0.6,0.114285714285714
"30002","20001",0.916666666666667,0.666666666666667,0.25
"40001","20001",0.818181818181818,0,0.818181818181818
"40002","20001",0.916666666666667,0.666666666666667,0.25
"70001","20001",1,1,0
"70004","20001",1,1,0
"70005","20001",1,1,0
"90004","20001",1,1,0
"90006","20001",1,1,0
"90008","20001",1,1,0
"20003","20002",0.545454545454545,0.545454545454545,0
"30001","20002",0.636363636363636,0.6,0.0363636363636364
"30002","20002",0.888888888888889,0.666666666666667,0.222222222222222
"40001","20002",0.75,0,0.75
"40002","20002",0.888888888888889,0.666666666666667,0.222222222222222
"70001","20002",1,1,0
"70004","20002",1,1,0
"70005","20002",1,1,0
"90004","20002",1,1,0
"90006","20002",1,1,0
"90008","20002",1,1,0
"30001","20003",0.333333333333333,0.25,0.0833333333333333
"30002","20003",0.75,0,0.75
"40001","20003",0.888888888888889,0.666666666666667,0.222222222222222
"40002","20003",0.888888888888889,0.666666666666667,0.222222222222222
"70001","20003",1,1,0
"70004","20003",0.875,0,0.875
"70005","20003",1,1,0
"90004","20003",1,1,0
"90006","20003",1,1,0
"90008","20003",1,1,0
"30002","30001",0.714285714285714,0,0.714285714285714
"40001","30001",0.875,0.666666666666667,0.208333333333333
"40002","30001",0.875,0.666666666666667,0.208333333333333
"70001","30001",1,1,0
"70004","30001",0.857142857142857,0,0.857142857142857
"70005","30001",1,1,0
"90004","30001",1,1,0
"90006","30001",1,1,0
"90008","30001",1,1,0
"40001","30002",1,1,0
"40002","30002",1,1,0
"70001","30002",1,1,0
"70004","30002",1,1,0
"70005","30002",1,1,0
"90004","30002",1,1,0
"90006","30002",1,1,0
"90008","30002",1,1,0
"40002","40001",0.666666666666667,0.666666666666667,0
"70001","40001",1,1,0
"70004","40001",1,1,0
"70005","40001",1,1,0
"90004","40001",1,1,0
"90006","40001",1,1,0
"90008","40001",1,1,0
"70001","40002",1,1,0
"70004","40002",0.5,0,0.5
"70005","40002",1,1,0
"90004","40002",1,1,0
"90006","40002",1,1,0
"90008","40002",1,1,0
"70004","70001",1,1,0
"70005","70001",1,1,0
"90004","70001",1,1,0
"90006","70001",1,1,0
"90008","70001",1,1,0
"70005","70004",1,1,0
"90004","70004",1,1,0
"90006","70004",1,1,0
"90008","70004",1,1,0
"90004","70005",1,1,0
"90006","70005",0,0,0
"90008","70005",0.5,0,0.5
"90006","90004",1,1,0
"90008","90004",0.5,0,0.5
"90008","90006",0.5,0,0.5
