"species_name_fishbase","eventDate","decimalLatitude","decimalLongitude"
"Ablennes hians","2019-02-01",35.2431,35.9202
"Ablennes hians","2021-04-01",33.2644,35.1974
"Ablennes hians","2021-02-28",32.1607,34.668
"Ablennes hians","2020-12-01",35.8084,14.5375
"Ablennes hians","2018-09-01",32.286,34.785
"Ablennes hians","2018-09-01",35.819,14.56
"Abudefduf hoefleri","2016-03-24",31.992,34.668
"Abudefduf hoefleri","2016-03-27",31.7647,34.5084
"Abudefduf hoefleri","2016-03-24",32.1337,34.7345
"Abudefduf hoefleri","2014-01-01",35.8351,14.563
"Abudefduf hoefleri","2016-04-01",35.919,14.512
"Abudefduf hoefleri","2016-02-22",31.9492,34.6228
"Abudefduf hoefleri","2016-02-23",31.7647,34.4552
"Abudefduf hoefleri","2016-03-26",32.0527,34.6919
"Abudefduf saxatilis","2013-01-01",32.493,34.887
"Abudefduf sexfasciatus","2017-08-01",37.6773,24.0555
"Abudefduf vaigiensis","2015-04-21",32.019,34.676
"Abudefduf vaigiensis","2016-03-25",32.1337,34.66
"Abudefduf vaigiensis","2015-03-25",32.1607,34.668
"Abudefduf vaigiensis","2023-01-01",31.2913,30.0146
"Abudefduf vaigiensis","2019-08-01",32.8539,13.0543
"Abudefduf vaigiensis","2018-04-22",34.9275,33.6487
"Abudefduf vaigiensis","2019-12-22",35.3893,24.4696
"Acanthopagrus bifasciatus","2018-12-01",38.63,26.5242
"Acanthopagrus bifasciatus","2020-11-01",31.3044,30.0235
"Acanthopagrus bifasciatus","2019-11-01",41.3475,2.1706
"Acanthopagrus bifasciatus","2010-09-01",37.141,10.794
"Acanthopagrus bifasciatus","2020-04-20",31.9762,34.66
"Acanthopagrus bifasciatus","2024-02-05",33.45,35.28
"Acanthopagrus bifasciatus","2018-02-12",37.319,26.5671
"Acanthostracion polygonium","2020-08-01",33.3349,35.2134
"Acanthurus chirurgus","2016-08-01",35.904,14.524
"Acanthurus chirurgus","2012-07-01",42.7267,10.4344
"Acanthurus chirurgus","2016-09-01",35.904,14.523
"Acanthurus coeruleus","2011-12-01",34.986,33.965
"Acanthurus coeruleus","2013-09-01",34.984,34.073
"Acanthurus coeruleus","2011-12-01",34.955,33.825
"Acanthurus coeruleus","2014-01-01",34.596,32.932
"Acanthurus coeruleus","2011-12-01",34.697,32.529
"Acanthurus coeruleus","2013-10-01",35.902,14.506
"Acanthurus coeruleus","2014-11-01",32.918,35.065
"Acanthurus coeruleus","2013-12-01",34.568,33.004
"Acanthurus gahhm","2019-10-01",37.961,23.539
"Acanthurus monroviae","2019-06-01",34.25,35.66
"Acanthurus monroviae","2021-06-24",33.91,35.5
"Acanthurus monroviae","2024-06-01",45.2934,14.5037
"Acanthurus monroviae","2013-09-01",35.854,14.594
"Acanthurus monroviae","2002-08-01",36.719,2.812
"Acanthurus monroviae","1994-11-01",32.829,34.955
"Acanthurus monroviae","2016-06-01",35.8894,14.5172
"Acanthurus monroviae","2015-01-01",37.959,23.489
"Acanthurus monroviae","2017-08-01",36.0538,14.1912
"Acanthurus monroviae","2016-06-01",35.818,14.4488
"Acanthurus monroviae","2010-07-01",37.6359,-0.692
"Acanthurus monroviae","2019-06-01",32.6529,14.2753
"Acanthurus monroviae","2016-01-01",35.913,14.508
"Acanthurus monroviae","2016-09-01",35.8193,14.4518
"Acanthurus monroviae","2001-12-01",36.773,2.866
"Acanthurus monroviae","2017-07-01",36.0538,14.1912
"Acanthurus monroviae","1981-03-01",36.481,-4.886
"Acanthurus monroviae","2010-04-01",37.141,10.794
"Acanthurus sohal","2017-08-01",36.935,26.988
"Acanthurus sohal","2021-04-01",33.2719,35.191
"Acanthurus sohal","2018-11-01",31.5264,34.4253
"Acanthurus sohal","2022-03-01",31.2747,29.9908
"Acanthurus xanthopterus","2024-10-31",36.8003,14.4797
"Acanthurus xanthopterus","2021-08-01",31.2367,29.9271
"Alepes djedaba","2013-12-01",35.7885,10.8338
"Alepes djedaba","1997-05-26",37.2568,21.6646
"Alepes djedaba","2009-01-01",37.8115,23.7711
"Alepes djedaba","2005-01-01",32.92,12.13
"Alepes djedaba","2006-06-27",35.9265,14.4904
"Alepes djedaba","2021-04-20",31.9762,34.66
"Alepes djedaba","1960-01-01",36.006,24.627
"Alepes djedaba","2017-05-02",31.9762,34.66
"Alepes djedaba","2014-08-01",37.7037,20.9834
"Alepes djedaba","1994-01-01",36.768,34.687
"Alepes djedaba","2007-01-01",36.725,27.994
"Alepes djedaba","2005-01-01",32.412,15.095
"Alepes djedaba","2012-06-01",34.173,10.711
"Alepes djedaba","1927-01-01",31.633,34.498
"Alepes djedaba","2005-01-01",32.0819,24.0067
"Alepes djedaba","2005-01-01",31.152,29.782
"Alepes djedaba","2007-01-01",36.701,27.726
"Alepes djedaba","2017-05-19",31.92,34.6733
"Alepes djedaba","2014-08-01",37.733,20.922
"Alepes djedaba","2017-04-30",32.1337,34.66
"Alepes djedaba","2017-05-11",32.1337,34.7345
"Aluterus monoceros","2018-05-02",32.019,34.676
"Aluterus monoceros","2018-10-01",33.2644,35.1974
"Aluterus monoceros","2000-01-01",35.184,-2.426
"Aluterus monoceros","2010-12-01",37.141,10.794
"Ambassis dussumieri","2021-10-01",32.1082,34.7758
"Ambassis dussumieri","2021-11-01",32.1082,34.7758
"Anarhichas lupus","1958-01-01",44.32,8.614
"Antigonia capros","2022-04-01",38.706,0.4798
"Apogonichthyoides pharaonis","2018-10-12",32.1922,34.7504
"Apogonichthyoides pharaonis","2018-12-22",32.1922,34.7504
"Apogonichthyoides pharaonis","2018-12-25",32.1922,34.7504
"Apogonichthyoides pharaonis","2010-04-10",39.4745,26.7709
"Apogonichthyoides pharaonis","2018-08-28",32.0527,34.6919
"Apogonichthyoides pharaonis","2015-08-28",32.0257,34.6786
"Apogonichthyoides pharaonis","2016-08-30",32.0257,34.6786
"Apogonichthyoides pharaonis","2016-08-28",32.0257,34.6786
"Apogonichthyoides pharaonis","2015-09-12",32.0257,34.6786
"Apogonichthyoides pharaonis","2019-04-24",32.0257,34.6786
"Apogonichthyoides pharaonis","2017-03-24",32.0257,34.6786
"Apogonichthyoides pharaonis","2018-04-24",32.0257,34.6786
"Apogonichthyoides pharaonis","2017-09-27",31.92,34.6254
"Apogonichthyoides pharaonis","2017-04-16",31.92,34.6254
"Apogonichthyoides pharaonis","2018-01-01",35.00863,25.74217
"Apogonichthyoides pharaonis","2017-01-01",36.44936,28.22917
"Apogonichthyoides pharaonis","2015-11-26",32.1337,34.6361
"Apogonichthyoides pharaonis","2016-09-16",32.1922,34.6813
"Apogonichthyoides pharaonis","2017-05-26",31.992,34.7052
"Apogonichthyoides pharaonis","2014-04-20",31.9492,34.6866
"Apogonichthyoides pharaonis","2017-04-18",31.9492,34.6866
"Apogonichthyoides pharaonis","2020-10-30",32.1607,34.7398
"Apogonichthyoides pharaonis","2017-04-29",32.1607,34.7398
"Apogonichthyoides pharaonis","2017-04-30",32.1607,34.7398
"Apogonichthyoides pharaonis","1994-01-01",36.507,34.281
"Apogonichthyoides pharaonis","2018-09-20",43.987,8.1614
"Apogonichthyoides pharaonis","2015-06-09",32.163,34.7398
"Apogonichthyoides pharaonis","2021-10-30",32.2192,34.7611
"Apogonichthyoides pharaonis","2017-12-18",32.2192,34.7611
"Apogonichthyoides pharaonis","2020-09-01",31.7792,25.0778
"Apogonichthyoides pharaonis","2018-04-28",32.847,34.9074
"Apogonichthyoides pharaonis","2014-04-28",32.847,34.9074
"Apogonichthyoides pharaonis","2018-10-09",31.92,34.5855
"Apogonichthyoides pharaonis","2017-11-28",31.9492,34.6866
"Apogonichthyoides pharaonis","2018-04-17",31.9492,34.6866
"Apogonichthyoides pharaonis","2017-10-10",32.289,34.7185
"Apogonichthyoides pharaonis","2017-01-24",32.1922,34.7504
"Apogonichthyoides pharaonis","2015-12-22",32.1337,34.7664
"Apogonichthyoides pharaonis","2018-06-14",32.289,34.785
"Apogonichthyoides pharaonis","2018-05-19",37.4226,24.866
"Apogonichthyoides pharaonis","2017-01-30",32.1045,34.7185
"Apogonichthyoides pharaonis","2017-03-23",32.1045,34.7185
"Apogonichthyoides pharaonis","1994-01-01",36.768,34.687
"Apogonichthyoides pharaonis","2015-11-27",32.1382,34.6627
"Apogonichthyoides pharaonis","2014-06-12",32.4375,34.7717
"Apogonichthyoides pharaonis","2018-10-29",32.1337,34.7345
"Apogonichthyoides pharaonis","1985-01-01",36.1507,29.59239
"Apogonichthyoides pharaonis","2005-11-01",36.5948,36.1702
"Apogonichthyoides pharaonis","2016-09-06",32.0482,34.6893
"Apogonichthyoides pharaonis","2015-11-27",32.0482,34.6893
"Apogonichthyoides pharaonis","2017-12-04",32.0482,34.6893
"Apogonichthyoides pharaonis","2018-10-10",32.289,34.7185
"Apogonichthyoides pharaonis","2018-09-05",32.0527,34.6919
"Apogonichthyoides pharaonis","2019-09-05",32.0527,34.6919
"Apogonichthyoides pharaonis","2017-12-04",32.0527,34.6919
"Apogonichthyoides pharaonis","2015-02-12",32.0527,34.6919
"Apogonichthyoides pharaonis",NA,32.0527,34.6919
"Apogonichthyoides pharaonis","2017-03-26",32.0527,34.6919
"Apogonichthyoides pharaonis","2015-12-23",31.7647,34.5084
"Apogonichthyoides pharaonis","2015-05-26",32.3407,34.7983
"Apogonichthyoides pharaonis","2016-06-17",31.92,34.6254
"Apogonichthyoides pharaonis","2017-04-24",32.0257,34.6786
"Apogonichthyoides pharaonis","2018-08-31",35.4138,25.0196
"Apogonichthyoides pharaonis","2023-10-01",37.2434,27.5994
"Apogonichthyoides pharaonis","2019-05-26",32.3992,34.8196
"Apogonichthyoides pharaonis","2017-01-23",32.1112,34.7185
"Apogonichthyoides pharaonis","2016-01-01",38.37196,20.74241
"Apogonichthyoides pharaonis","2017-01-01",31.25,29.87
"Apogonichthyoides pharaonis","2015-03-25",31.965,34.6573
"Apogonichthyoides pharaonis","2018-05-12",32.1337,34.66
"Apogonichthyoides pharaonis","2001-04-01",34.474,35.781
"Apogonichthyoides pharaonis","2016-06-14",32.1045,34.7185
"Apogonichthyoides pharaonis","2018-06-16",38.7899,20.8452
"Apogonichthyoides pharaonis","2013-07-01",35.8965,14.516
"Apogonichthyoides pharaonis","2017-02-14",31.92,34.6733
"Apogonichthyoides pharaonis","1997-05-30",35.8913,14.5177
"Apogonichthyoides pharaonis","2019-01-01",36.41294,27.39052
"Apogonichthyoides pharaonis","2020-05-11",32.5432,34.8808
"Apogonichthyoides pharaonis","2017-12-26",31.7647,34.4552
"Apogonichthyoides pharaonis","2018-06-29",31.9762,34.66
"Apogonichthyoides pharaonis","2016-08-28",32.082,34.7079
"Apogonichthyoides pharaonis","2016-10-30",32.2192,34.7611
"Apogonichthyoides pharaonis","2016-06-13",32.3407,34.7398
"Apogonichthyoides pharaonis","2015-11-26",32.2192,34.7611
"Apogonichthyoides pharaonis","2022-09-01",35.189,35.949
"Apogonichthyoides pharaonis","2018-10-10",32.0055,34.6733
"Apogonichthyoides pharaonis","2019-11-01",32.0055,34.6733
"Apogonichthyoides pharaonis","2021-05-26",32.1112,34.7185
"Apogonichthyoides pharaonis","2015-06-29",31.9492,34.6467
"Apogonichthyoides pharaonis","2018-05-11",32.1337,34.66
"Apogonichthyoides pharaonis","2018-10-10",31.9762,34.6201
"Apogonichthyoides pharaonis","2015-11-24",32.1337,34.66
"Apogonichthyoides pharaonis","2017-01-28",32.505,34.8542
"Apogonichthyoides pharaonis","2017-12-18",32.1877,34.7478
"Apogonichthyoides pharaonis","2016-06-12",32.1337,34.7345
"Apogonichthyoides pharaonis","2016-08-28",32.1337,34.7345
"Apogonichthyoides pharaonis","2017-01-31",32.1337,34.7345
"Apogonichthyoides pharaonis","2018-01-01",35.24806,25.73764
"Apogonichthyoides pharaonis","2018-10-29",32.1382,34.6627
"Apogonichthyoides pharaonis","1984-01-01",36.773,34.721
"Apogonichthyoides pharaonis","2014-01-01",38.31712,21.39703
"Apogonichthyoides pharaonis","2016-09-29",32.1337,34.7345
"Apogonichthyoides pharaonis","2015-11-24",32.1337,34.7345
"Apogonichthyoides pharaonis","2017-12-23",32.1337,34.7345
"Apogonichthyoides pharaonis","2011-10-30",32.2192,34.7611
"Apogonichthyoides pharaonis","2017-02-23",31.92,34.6254
"Apogonichthyoides pharaonis","2015-11-26",32.019,34.676
"Apogonichthyoides pharaonis","2018-12-03",32.019,34.676
"Apogonichthyoides pharaonis","2015-12-04",32.019,34.676
"Apogonichthyoides pharaonis","2018-11-29",32.2462,34.777
"Apogonichthyoides pharaonis","1989-01-01",36.773,34.721
"Apogonichthyoides pharaonis","2017-01-29",32.5432,34.8622
"Apogonichthyoides pharaonis","2017-12-22",31.7647,34.5084
"Apogonichthyoides pharaonis","2015-12-22",32.1607,34.668
"Apogonichthyoides pharaonis","2017-08-15",32.262,34.785
"Apogonichthyoides pharaonis","2018-10-04",34.7723,33.5133
"Apogonichthyoides pharaonis","2017-01-22",32.1877,34.7478
"Apogonichthyoides pharaonis","2017-07-04",35.8995,14.5188
"Apogonichthyoides pharaonis","2017-04-27",32.847,34.8861
"Apogonichthyoides pharaonis","2015-12-22",31.7647,34.5084
"Apogonichthyoides pharaonis","2017-02-27",32.289,34.785
"Apogonichthyoides pharaonis","2015-02-28",32.1382,34.7345
"Apogonichthyoides pharaonis","2017-02-11",32.1382,34.7345
"Apogonichthyoides pharaonis","2002-01-01",36.43,28.19
"Apogonichthyoides pharaonis","1947-01-01",32.076,34.732
"Apogonichthyoides pharaonis","2017-05-23",35.8887,14.5175
"Apogonichthyoides pharaonis","2017-12-23",31.8885,34.6041
"Apogonichthyoides pharaonis","2017-04-28",32.9392,34.926
"Apogonichthyoides pharaonis","2017-04-28",31.992,34.668
"Apogonichthyoides pharaonis","2015-12-21",31.7647,34.5084
"Apogonichthyoides pharaonis","2018-08-29",31.9492,34.6467
"Apogonichthyoides pharaonis","2014-10-29",32.1382,34.7345
"Apogonichthyoides pharaonis","2015-11-27",32.1382,34.7345
"Apogonichthyoides pharaonis","2015-09-12",31.9492,34.6467
"Apogonichthyoides pharaonis","2015-02-23",32.0257,34.6786
"Apogonichthyoides pharaonis","2017-04-28",32.847,34.9393
"Apogonichthyoides pharaonis","2019-09-05",32.019,34.676
"Apogonichthyoides pharaonis","2018-04-21",32.019,34.676
"Apogonichthyoides pharaonis","2015-04-27",32.892,34.9366
"Apogonichthyoides pharaonis","2017-03-28",31.992,34.668
"Apogonichthyoides pharaonis","2018-06-08",32.2192,34.7611
"Apogonichthyoides pharaonis","1984-01-01",36.448,35.741
"Apogonichthyoides pharaonis","1983-01-01",36.569,35.992
"Apogonichthyoides pharaonis","2015-05-02",32.019,34.676
"Apogonichthyoides pharaonis","2015-12-23",32.0055,34.6733
"Apogonichthyoides pharaonis","2017-04-20",32.019,34.676
"Apogonichthyoides pharaonis","2015-06-13",32.3182,34.793
"Apogonichthyoides pharaonis","2017-03-23",32.1337,34.7345
"Apogonichthyoides pharaonis","2016-06-08",32.2192,34.7611
"Apogonichthyoides pharaonis","1983-01-01",36.212,34.002
"Apogonichthyoides pharaonis","2015-03-24",32.1045,34.652
"Apogonichthyoides pharaonis","1983-01-01",36.773,34.721
