species_name,species_name_fishbase,genus_name,genus_name_fishbase,origin,invasive,IUCN_Global,IUCN_Med,Year_Global,Year_Med,Length_cm,Length_max,Depth_min_m,Depth_max_m,Continental_shelf,Continental_slope,Open_ocean,Habitat._soft,Habitat_rocky,Habitat_posidonia,Migration,Reproduction,Sex_shift,Semelparity,Larvae,Behav,Diet_type,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,AirBreathing,AnaCat,Vulnerability
Ablennes hians,Ablennes hians,Ablennes,Ablennes,RS,1,LC,NA,2015,NA,70,140,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,1,1,reef-associated,WaterAssumed,oceanodromous,39.61
Abudefduf hoefleri,Abudefduf hoefleri,Abudefduf,Abudefduf,A,1,DD,NA,2020,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,10
Abudefduf saxatilis,Abudefduf saxatilis,Abudefduf,Abudefduf,A,1,LC,NA,2015,NA,15,22.89999962,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,non-migratory,12.9
Abudefduf sexfasciatus,Abudefduf sexfasciatus,Abudefduf,Abudefduf,RS,1,LC,NA,2017,NA,NA,19,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,non-migratory,10
Abudefduf vaigiensis,Abudefduf vaigiensis,Abudefduf,Abudefduf,RS,1,LC,NA,2017,NA,15,18,1,15,1,1,0,0,1,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,oceanodromous,15.82
Acanthocybium solandri,Acanthocybium solandri,Acanthocybium,Acanthocybium,U,0,LC,LC,2023,2011,150,210,1,30,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Piscivorous,elongated,0,0,1,pelagic-oceanic,WaterAssumed,oceanodromous,46.13
Acantholabrus palloni,Acantholabrus palloni,Acantholabrus,Acantholabrus,U,0,LC,LC,2010,2011,21.5,28,30,250,0,0,0,1,1,0,NA,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,15
Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Acanthopagrus,Acanthopagrus,RS,1,LC,NA,2014,NA,40,36.20000076,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,1,1,reef-associated,WaterAssumed,NA,37.35
Acanthostracion polygonius,Acanthostracion polygonium,Acanthostracion,Acanthostracion,A,1,LC,NA,2015,NA,25,50,3,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,40
Acanthurus chirurgus,Acanthurus chirurgus,Acanthurus,Acanthurus,A,1,LC,NA,2012,NA,35,39,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,22.98
