"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","Adriatic_Sea","Aegean_Sea","Alboran_Sea","Ionian_Sea","Levantine_Sea","Western_Mediterranean"
"Aetomylaeus","genus",NA,NA,"Aetomylaeus","Aetomylaeus","Myliobatidae",0,0,18,0,0,123
"Aetomylaeus bovinus","species","Aetomylaeus bovinus","Aetomylaeus bovinus","Aetomylaeus","Aetomylaeus","Myliobatidae",0,0,0,0,27,3853
"Aidablennius sphynx","species","Aidablennius sphynx","Aidablennius sphynx","Aidablennius","Aidablennius","Blenniidae",437,0,0,391,0,21166
"Alepes djedaba","species","Alepes djedaba","Alepes djedaba","Alepes","Alepes","Carangidae",0,0,0,0,192,0
"Alopias","genus",NA,NA,"Alopias","Alopias","Alopiidae",0,0,0,0,0,1471
"Alopias vulpinus","species","Alopias vulpinus","Alopias vulpinus","Alopias","Alopias","Alopiidae",0,0,0,0,0,26508
"Anguilla","genus",NA,NA,"Anguilla","Anguilla","Anguillidae",0,0,0,0,0,976
"Anthias","genus",NA,NA,"Anthias","Anthias","Serranidae",0,115,0,3192,311,235470
"Anthias anthias","species","Anthias anthias","Anthias anthias","Anthias","Anthias","Serranidae",5818,16356,0,372350,1216,6155479
"Aphia minuta","species","Aphia minuta","Aphia minuta","Aphia","Aphia","Gobiidae",26,0,0,169528,206,75835
"Apogon","genus",NA,NA,"Apogon","Apogon","Apogonidae",0,0,0,1223,0,40201
"Apogon imberbis","species","Apogon imberbis","Apogon imberbis","Apogon","Apogon","Apogonidae",86,1661,0,304580,388,227812
"Apogon pacificus","species","Apogon pacificus","Apogon pacificus","Apogon","Apogon","Apogonidae",0,0,0,0,0,248
"Argyropelecus hemigymnus","species","Argyropelecus hemigymnus","Argyropelecus hemigymnus","Argyropelecus","Argyropelecus","Sternoptychidae",0,0,0,0,0,1991
"Ariosoma","genus",NA,NA,"Ariosoma","Ariosoma","Congridae",0,19,0,123,0,2885
"Arnoglossus","genus",NA,NA,"Arnoglossus","Arnoglossus","Bothidae",0,0,62,0,0,743
"Arnoglossus imperialis","species","Arnoglossus imperialis","Arnoglossus imperialis","Arnoglossus","Arnoglossus","Bothidae",0,0,0,0,0,493
"Arnoglossus laterna","species","Arnoglossus laterna","Arnoglossus laterna","Arnoglossus","Arnoglossus","Bothidae",0,0,1579,0,0,15493
"Arnoglossus thori","species","Arnoglossus thori","Arnoglossus thori","Arnoglossus","Arnoglossus","Bothidae",0,78,118,151,0,33197
"Atherina","genus",NA,NA,"Atherina","Atherina","Atherinidae",0,0,0,58,0,0
