Source,Filter_ID,PCR_ID,Ecoregion,Country,Site_names,Common_MPA,MPA_Identi,Transect_ID,decimalLatitude,decimalLongitude,decimalLatitude_end,decimalLongitude_end,start_time,Date_Collection,Zone,Method,duration,filtr,vlm_f,EVE,EVS,Region,Projet
ACTNOW,DAR-2024-0281,IS01,Levantine Sea,Israel,ma_il_evtah_2024_NTZ,Yam Evtah,10001,10001.1,31.72887,34.54945,31.73925,34.55917,11:00:00,11/09/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2223,EVS1744,Med,ACTNOW
ACTNOW,DAR-2024-0282,IS02,Levantine Sea,Israel,ma_il_evtah_2024_NTZ,Yam Evtah,10001,10001.1,31.72887,34.54945,31.73925,34.55917,11:00:00,11/09/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2224,EVS1745,Med,ACTNOW
ACTNOW,DAR-2024-0283,IS03,Levantine Sea,Israel,ma_il_evtah_2024_Buffer,Yam Evtah,10001,10001.2,31.81758,34.6073,31.81893,34.60648,12:30:00,11/09/2024,Buffer,surface_boat_transect,30,0.45,30,EVE2225,EVS1746,Med,ACTNOW
ACTNOW,DAR-2024-0284,IS04,Levantine Sea,Israel,ma_il_evtah_2024_Buffer,Yam Evtah,10001,10001.2,31.81758,34.6073,31.81893,34.60648,12:30:00,11/09/2024,Buffer,surface_boat_transect,30,0.45,30,EVE2226,EVS1747,Med,ACTNOW
ACTNOW,DAR-2024-0285,IS05,Levantine Sea,Israel,ma_il_evtah_2024_Outside,Yam Evtah,10001,10001.3,31.85565,34.62857,31.85848,34.62702,13:30:00,11/09/2024,Outside,surface_boat_transect,30,0.45,30,EVE2227,EVS1748,Med,ACTNOW
ACTNOW,DAR-2024-0286,IS06,Levantine Sea,Israel,ma_il_evtah_2024_Outside,Yam Evtah,10001,10001.3,31.85565,34.62857,31.85848,34.62702,13:30:00,11/09/2024,Outside,surface_boat_transect,30,0.45,30,EVE2228,EVS1749,Med,ACTNOW
ACTNOW,DAR-2023-0914,CY01,Levantine Sea,Cyprus,ma_cy_limass_2023_NTZ,Amathounta,20001,20001.1,34.69988789,33.14713723,34.6986286,33.13717819,11:06:00,30/10/2023,NTZ,surface_boat_transect,45,0.45,43.9,EVE2369,EVS638,Med,ACTNOW
ACTNOW,DAR-2023-0904,CY02,Levantine Sea,Cyprus,ma_cy_limass_2023_NTZ,Amathounta,20001,20001.1,34.69988789,33.14713723,34.6986286,33.13717819,11:06:00,30/10/2023,NTZ,surface_boat_transect,45,0.45,47.3,EVE2370,EVS639,Med,ACTNOW
ACTNOW,DAR-2023-0909,CY03,Levantine Sea,Cyprus,ma_cy_limass_2023_Outside,Amathounta,20001,20001.3,34.70088366,33.2730133,34.69963979,33.26151777,12:59:00,30/10/2023,Outside,surface_boat_transect,45,0.45,33.8,EVE2371,EVS640,Med,ACTNOW
ACTNOW,DAR-2023-0912,CY04,Levantine Sea,Cyprus,ma_cy_limass_2023_Outside,Amathounta,20001,20001.3,34.70088366,33.2730133,34.69963979,33.26151777,12:59:00,30/10/2023,Outside,surface_boat_transect,45,0.45,36,EVE2372,EVS641,Med,ACTNOW
ACTNOW,DAR-2023-0911,CY05,Levantine Sea,Cyprus,ma_cy_limass_2023_Buffer,Amathounta,20001,20001.2,34.6986384,33.21887316,34.69871703,33.2115136,14:22:00,30/10/2023,Buffer,surface_boat_transect,45,0.45,39.4,EVE2367,EVS642,Med,ACTNOW
ACTNOW,DAR-2023-0910,CY06,Levantine Sea,Cyprus,ma_cy_limass_2023_Buffer,Amathounta,20001,20001.2,34.6986384,33.21887316,34.69871703,33.2115136,14:22:00,30/10/2023,Buffer,surface_boat_transect,45,0.45,40.5,EVE2368,EVS643,Med,ACTNOW
ACTNOW,DAR-2023-0913,CY08,Levantine Sea,Cyprus,ma_cy_capogr_2023_NTZ,Capo Greco,20002,20002.1,34.96577804,34.08923389,34.95318633,34.0840206,10:58:00,31/10/2023,NTZ,surface_boat_transect,45,0.45,41.6,EVE2386,EVS644,Med,ACTNOW
ACTNOW,DAR-2023-0901,CY09,Levantine Sea,Cyprus,ma_cy_capogr_2023_NTZ,Capo Greco,20002,20002.1,34.96577804,34.08923389,34.95318633,34.0840206,10:58:00,31/10/2023,NTZ,surface_boat_transect,45,0.45,42.8,EVE2382,EVS645,Med,ACTNOW
ACTNOW,DAR-2023-0908,CY10,Levantine Sea,Cyprus,ma_cy_capogr_2023_Buffer,Capo Greco,20002,20002.2,34.96604081,34.02550679,34.96751209,34.00613269,12:25:00,31/10/2023,Buffer,surface_boat_transect,45,0.45,40.5,EVE2385,EVS646,Med,ACTNOW
ACTNOW,DAR-2023-0917,CY11,Levantine Sea,Cyprus,ma_cy_capogr_2023_Buffer,Capo Greco,20002,20002.2,34.96604081,34.02550679,34.96751209,34.00613269,12:25:00,31/10/2023,Buffer,surface_boat_transect,45,0.45,42.8,EVE2387,EVS647,Med,ACTNOW
ACTNOW,DAR-2023-0907,CY12,Levantine Sea,Cyprus,ma_cy_capogr_2023_Outside,Capo Greco,20002,20002.3,34.97313894,33.97103749,34.97101388,33.95086653,13:44:00,31/10/2023,Outside,surface_boat_transect,45,0.45,45,EVE2384,EVS648,Med,ACTNOW
ACTNOW,DAR-2023-0906,CY13,Levantine Sea,Cyprus,ma_cy_capogr_2023_Outside,Capo Greco,20002,20002.3,34.97313894,33.97103749,34.97101388,33.95086653,13:44:00,31/10/2023,Outside,surface_boat_transect,45,0.45,34.9,EVE2383,EVS649,Med,ACTNOW
ACTNOW,DAR-2023-0916,CY15,Levantine Sea,Cyprus,ma_cy_akamas_2023_Buffer,Kakoskali,20003,20003.2,35.11517591,32.2965458,35.11616061,32.27507598,12:12:00,01/11/2023,Buffer,surface_boat_transect,45,0.45,47.3,EVE2378,EVS650,Med,ACTNOW
ACTNOW,DAR-2023-0903,CY16,Levantine Sea,Cyprus,ma_cy_akamas_2023_Buffer,Kakoskali,20003,20003.2,35.11517591,32.2965458,35.11616061,32.27507598,12:12:00,01/11/2023,Buffer,surface_boat_transect,45,0.45,45,EVE2375,EVS651,Med,ACTNOW
ACTNOW,DAR-2023-0915,CY17,Levantine Sea,Cyprus,ma_cy_akamas_2023_Outside,Kakoskali,20003,20003.3,35.074866,32.26169611,35.06222676,32.26208788,13:36:00,01/11/2023,Outside,surface_boat_transect,45,0.45,40.5,EVE2377,EVS652,Med,ACTNOW
ACTNOW,DAR-2023-0918,CY18,Levantine Sea,Cyprus,ma_cy_akamas_2023_Outside,Kakoskali,20003,20003.3,35.074866,32.26169611,35.06222676,32.26208788,13:36:00,01/11/2023,Outside,surface_boat_transect,45,0.45,45,EVE2379,EVS653,Med,ACTNOW
ACTNOW,DAR-2023-0902,CY19,Levantine Sea,Cyprus,ma_cy_akamas_2023_NTZ,Kakoskali,20003,20003.1,35.07528266,32.32640566,35.07043943,32.33471238,15:15:00,01/11/2023,NTZ,surface_boat_transect,45,0.45,45,EVE2374,EVS654,Med,ACTNOW
ACTNOW,DAR-2023-0905,CY20,Levantine Sea,Cyprus,ma_cy_akamas_2023_NTZ,Kakoskali,20003,20003.1,35.07528266,32.32640566,35.07043943,32.33471238,15:15:00,01/11/2023,NTZ,surface_boat_transect,45,0.45,42.8,EVE2376,EVS655,Med,ACTNOW
ACTNOW,DAR-2024-0324,GR08,Aegean Sea,Greece,ma_gr_karpat_2024_Outside,Voreia Karpathos,30001,30001.3,35.57982537,27.18790113,35.57555496,27.20180252,15:05:00,17/06/2024,Outside,surface_boat_transect,30,0.45,30,EVE2332,EVS1196,Med,ACTNOW
ACTNOW,DAR-2024-0325,GR09,Aegean Sea,Greece,ma_gr_karpat_2024_Outside,Voreia Karpathos,30001,30001.3,35.57982537,27.18790113,35.57555496,27.20180252,15:05:00,17/06/2024,Outside,surface_boat_transect,30,0.45,30,EVE2333,EVS1197,Med,ACTNOW
ACTNOW,DAR-2024-0321,GR10,Aegean Sea,Greece,ma_gr_karpat_2024_NTZ,Voreia Karpathos,30001,30001.1,35.71809869,27.2042155,35.70673644,27.20082309,11:36:00,17/06/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2329,EVS1198,Med,ACTNOW
ACTNOW,DAR-2024-0320,GR11,Aegean Sea,Greece,ma_gr_karpat_2024_NTZ,Voreia Karpathos,30001,30001.1,35.71809869,27.2042155,35.70673644,27.20082309,11:36:00,17/06/2024,NTZ,surface_boat_transect,30,0.45,30,EVE2328,EVS1199,Med,ACTNOW
ACTNOW,DAR-2024-0323,GR12,Aegean Sea,Greece,ma_gr_karpat_2024_Buffer,Voreia Karpathos,30001,30001.2,35.62115016,27.15829658,35.61605749,27.15376189,13:08:00,17/06/2024,Buffer,surface_boat_transect,30,0.45,30,EVE2331,EVS1200,Med,ACTNOW
