"class_name","scientific_name"
"Mammalia","Homo"
"Actinopteri","Cyprinidae"
"Actinopteri","Xenocypridinae"
"Actinopteri","Cyprinoidei"
"Mammalia","Homininae"
"Actinopteri","Salmoninae"
"Actinopteri","Catostomidae"
"Actinopteri","Leuciscidae"
"Actinopteri","Oncorhynchus"
"Actinopteri","Sparidae"
"Actinopteri","Siganus"
"Actinopteri","Carassius"
"Actinopteri","Istiophoridae"
"Actinopteri","Thunnus"
"Actinopteri","Symphodus"
"Actinopteri","Scomber"
"Actinopteri","Diplodus"
"Actinopteri","Sardinella"
"Actinopteri","Trachurus"
"Actinopteri","Gobius"
"Chondrichthyes","Torpedo"
"Actinopteri","Engraulis"
"Actinopteri","Ceratoscopelus"
"Actinopteri","Monopterus"
"Actinopteri","Salmo"
"Actinopteri","Parupeneus"
"Actinopteri","Parexocoetus"
"Actinopteri","Auxis"
"Actinopteri","Atherina"
"Actinopteri","Liparis"
"Actinopteri","Dussumieria"
"Actinopteri","Sargocentron"
"Actinopteri","Mullus"
"Actinopteri","Syngnathus"
"Actinopteri","Boops boops"
"Actinopteri","Dicentrarchus labrax"
"Actinopteri","Sparus aurata"
"Actinopteri","Chromis chromis"
"Actinopteri","Sardina pilchardus"
"Actinopteri","Spicara smaris"
"Actinopteri","Spicara maena"
"Actinopteri","Sarpa salpa"
"Actinopteri","Sparisoma cretense"
"Echinoidea","Diadema setosum"
"Actinopteri","Euthynnus alletteratus"
"Actinopteri","Thalassoma pavo"
"Actinopteri","Sciaenidae"
"Actinopteri","Myctophum punctatum"
"Actinopteri","Diplodus vulgaris"
"Actinopteri","Engraulis encrasicolus"
"Actinopteri","Sillago"
"Holothuroidea","Holothuria"
"Actinopteri","Pagrus caeruleostictus"
"Actinopteri","Coris julis"
"Actinopteri","Lithognathus mormyrus"
"Actinopteri","Belone belone"
"Actinopteri","Pterois miles"
"Actinopteri","Xyrichtys novacula"
"Actinopteri","Anthias anthias"
"Actinopteri","Etrumeus"
"Actinopteri","Diplodus annularis"
"Actinopteri","Encrasicholina punctifer"
"Actinopteri","Mola mola"
"Actinopteri","Fistularia commersonii"
"Actinopteri","Symphodus tinca"
"Actinopteri","Atherinomorus forskalii"
"Actinopteri","Scomber colias"
"Actinopteri","Ceratoscopelus maderensis"
"Actinopteri","Parexocoetus mento"
"Actinopteri","Diplodus puntazzo"
"Actinopteri","Oedalechilus labeo"
"Actinopteri","Muraena helena"
"Actinopteri","Pagellus acarne"
"Actinopteri","Exocoetidae"
"Actinopteri","Pempheris vanicolensis"
"Actinopteri","Chelon auratus"
"Actinopteri","Parablennius pilicornis"
"Actinopteri","Mullus barbatus"
"Actinopteri","Siganus luridus"
"Actinopteri","Sphyraena"
"Actinopteri","Epinephelus costae"
"Actinopteri","Clupea"
"Actinopteri","Serranus scriba"
"Actinopteri","Diaphus rafinesquii"
"Actinopteri","Symphodus ocellatus"
"Actinopteri","Xiphias gladius"
"Actinopteri","Upeneus moluccensis"
"Actinopteri","Lagocephalus suezensis"
"Actinopteri","Lagocephalus sceleratus"
"Actinopteri","Apogon imberbis"
"Actinopteri","Katsuwonus pelamis"
"Actinopteri","Repomucenus filamentosus"
"Actinopteri","Parablennius gattorugine"
"Actinopteri","Labrus"
"Actinopteri","Epinephelus marginatus"
"Actinopteri","Spicara"
"Actinopteri","Ostorhinchus fasciatus"
"Actinopteri","Mugil"
"Actinopteri","Scomber scombrus"
"Actinopteri","Sarda sarda"
"Actinopteri","Pagellus erythrinus"
"Actinopteri","Sparus"
"Actinopteri","Parablennius"
"Actinopteri","Uranoscopus scaber"
"Actinopteri","Scorpaena porcus"
"Actinopteri","Centrolophus niger"
"Actinopteri","Chelon ramada"
"Actinopteri","Pseudocaranx dentex"
"Chondrichthyes","Dasyatis marmorata"
"Actinopteri","Ammodytidae"
"Actinopteri","Scorpaena notata"
"Actinopteri","Lobianchia dofleini"
"Actinopteri","Chelon labrosus"
"Actinopteri","Jaydia smithi"
"Actinopteri","Saurida lessepsianus"
"Actinopteri","Congridae"
"Actinopteri","Spondyliosoma cantharus"
"Actinopteri","Diaphus"
"Actinopteri","Nemipterus randalli"
"Actinopteri","Fistularia petimba"
"Actinopteri","Salaria"
"Actinopteri","Cepola macrophthalma"
"Actinopteri","Lipophrys trigloides"
"Actinopteri","Cyclothone braueri"
"Actinopteri","Parablennius sanguinolentus"
"Chondrichthyes","Himantura uarnak"
"Actinopteri","Cheilodipterus novemstriatus"
"Actinopteri","Dicentrarchus"
"Actinopteri","Herklotsichthys punctatus"
"Actinopteri","Scartella cristata"
"Actinopteri","Enchelycore anatina"
"Actinopteri","Sciaena umbra"
"Actinopteri","Equulites klunzingeri"
"Actinopteri","Pagellus"
"Actinopteri","Synodus synodus"
"Actinopteri","Odondebuenia balearica"
"Actinopteri","Euthynnus"
"Actinopteri","Mycteroperca rubra"
"Actinopteri","Mullus surmuletus"
"Actinopteri","Pomatoschistus microps"
"Gastropoda","Dendronotus frondosus"
"Actinopteri","Arnoglossus laterna"
"Actinopteri","Boops"
"Actinopteri","Muraena"
"Actinopteri","Caranx"
"Actinopteri","Buenia affinis"
"Actinopteri","Cyprinella lutrensis"
"Actinopteri","Parablennius incognitus"
"Actinopteri","Pomatomus saltator"
"Actinopteri","Diplodus cervinus"
"Actinopteri","Pomadasys incisus"
"Actinopteri","Chromis"
"Actinopteri","Coris"
"Actinopteri","Serranus cabrilla"
"Actinopteri","Tripterygion melanurum"
"Actinopteri","Odondebuenia"
"Actinopteri","Scomberomorus commerson"
"Actinopteri","Gymnammodytes semisquamatus"
"Actinopteri","Scorpaena scrofa"
"Actinopteri","Myctophum"
"Actinopteri","Gobius niger"
"Actinopteri","Sphoeroides pachygaster"
"Chondrichthyes","Dasyatis pastinaca"
"Actinopteri","Aidablennius"
"Mammalia","Homo sapiens"
"Actinopteri","Ctenolabrus rupestris"
"Actinopteri","Microlipophrys canevae"
"Actinopteri","Tripterygion delaisi"
"Actinopteri","Balistes capriscus"
"Actinopteri","Sardina"
"Actinopteri","Rhinichthys"
"Actinopteri","Lesueurigobius suerii"
"Actinopteri","Lagocephalus"
"Actinopteri","Clinidae"
"Aves","Anas"
"Actinopteri","Triglidae"
"Actinopteri","Uranoscopus"
"Actinopteri","Labridae"
"Actinopteri","Hybognathus amarus"
"Actinopteri","Lithognathus"
"Actinopteri","Salmo salar"
"Actinopteri","Ophidion"
"Actinopteri","Tripterygion"
"Aves","Excalfactoria chinensis"
"Actinopteri","Serranus"
"Actinopteri","Coelorinchus"
"Actinopteri","Pleuronectidae"
"Actinopteri","Sarpa"
"Actinopteri","Lepomis"
"Actinopteri","Salariopsis fluviatilis"
"Actinopteri","Laviniinae"
"Actinopteri","Ariosoma"
"Actinopteri","Aphia minuta"
"Actinopteri","Encrasicholina"
"Actinopteri","Gobius xanthocephalus"
"Actinopteri","Decapterus"
"Actinopteri","Syngnathus acus"
"Chondrichthyes","Torpedo marmorata"
"Actinopteri","Lesueurigobius"
"Actinopteri","Carapus acus"
"Actinopteri","Atherina presbyter"
"Actinopteri","Upeneus pori"
"Actinopteri","Misgurnus anguillicaudatus"
"Actinopteri","Atherina boyeri"
"Chondrichthyes","Mobula"
"Actinopteri","Dentex"
"Actinopteri","Alosa fallax"
"Actinopteri","Alburnus alburnus"
"Actinopteri","Arnoglossus thori"
"Aves","Columba livia"
"Chondrichthyes","Dasyatis tortonesei"
"Actinopteri","Barbinae"
"Actinopteri","Hippocampus guttulatus"
"Actinopteri","Crystallogobius linearis"
"Actinopteri","Esox lucius"
"Actinopteri","Lampanyctus"
"Actinopteri","Anthias"
"Actinopteri","Zebrus zebrus"
"Aves","Gallus"
"Actinopteri","Serranus hepatus"
"Actinopteri","Gobius cruentatus"
"Actinopteri","Seriola dumerili"
"Actinopteri","Lepadogaster"
"Actinopteri","Echelus myrus"
"Actinopteri","Lepadogaster lepadogaster"
"Actinopteri","Coryphaena hippurus"
"Actinopteri","Gobiusculus flavescens"
"Actinopteri","Gobius bucchichi"
"Chondrichthyes","Glaucostegus cemiculus"
"Actinopteri","Myctophidae"
"Actinopteri","Umbrina cirrosa"
"Actinopteri","Alepes djedaba"
"Actinopteri","Dicentrarchus punctatus"
"Actinopteri","Rhinichthys osculus"
