taxon_name,rank,Fresh,Brack,Saltwater
Aetomylaeus,genus,0,1,1
Aidablennius,genus,0,0,1
Alopias,genus,0,0,1
Anguilla,genus,1,1,1
Anthias,genus,0,0,1
Aphia,genus,0,1,1
Apogon,genus,0,1,1
Ariosoma,genus,0,0,1
Arnoglossus,genus,0,1,1
Atherina,genus,1,1,1
Auxis,genus,0,0,1
Barbatula,genus,1,0,0
Barbus,genus,1,0,0
Bathytoshia,genus,0,1,1
Belone,genus,0,1,1
Belonidae,family,0,1,1
Blennius,genus,0,1,1
Boops,genus,0,0,1
Bothus,genus,0,0,1
Brama,genus,0,0,1
Buenia,genus,0,0,1
Buglossidium,genus,0,0,1
Capros,genus,0,0,1
Caranx,genus,0,1,1
Carassius,genus,1,1,0
Carcharhinus,genus,1,1,1
Ceratoscopelus,genus,0,0,1
Channa,genus,1,0,0
Cheilodipterus,genus,0,0,1
Chelon,genus,1,1,1
Chromis,genus,0,0,1
Clupea,genus,0,1,1
Cobitidae,family,1,0,0
Coelorinchus,genus,0,0,1
Congridae,family,0,1,1
Coris,genus,0,0,1
Crystallogobius,genus,0,0,1
Cyclothone,genus,0,0,1
Cyprinidae,family,1,1,0
Cyprinus,genus,1,1,0
Dasyatidae,family,0,1,1
Dasyatis,genus,0,1,1
Decapterus,genus,0,1,1
Deltentosteus,genus,0,0,1
Dentex,genus,0,0,1
Diaphus,genus,0,0,1
Dicentrarchus,genus,1,1,1
Diplodus,genus,0,1,1
Dussumieria,genus,0,0,1
Echelus,genus,0,0,1
Encrasicholina,genus,0,0,1
Engraulis,genus,0,1,1
Epinephelus,genus,0,1,1
Etrumeus,genus,0,0,1
Euthynnus,genus,0,0,1
Exocoetidae,family,0,1,1
Fistularia,genus,0,0,1
Gadus,genus,0,1,1
Gambusia,genus,1,1,0
Gobio,genus,1,1,0
Gobius,genus,0,1,1
Gymnammodytes,genus,0,0,1
Gymnocephalus,genus,1,1,0
Hemiramphus,genus,0,1,1
Hoplias,genus,1,0,0
Knipowitschia,genus,1,1,0
Labridae,family,0,1,1
Labrus,genus,0,0,1
Lagocephalus,genus,0,0,1
Lampanyctus,genus,0,0,1
Lebetus,genus,0,0,1
Lepadogaster,genus,0,0,1
Lepidotrigla,genus,0,0,1
Lepomis,genus,1,1,0
Lesueurigobius,genus,0,1,1
Leuciscidae,family,1,1,0
Lipophrys,genus,0,1,1
Lithognathus,genus,0,1,1
Maurolicus,genus,0,0,1
Merluccius,genus,0,0,1
Microlipophrys,genus,0,1,1
Millerigobius,genus,0,0,1
Mobula,genus,0,0,1
Mola,genus,0,0,1
Monopterus,genus,1,1,0
Mugil,genus,1,1,1
Mullus,genus,0,1,1
Muraena,genus,0,0,1
Mycteroperca,genus,0,0,1
Myctophidae,family,0,1,1
Myctophum,genus,0,0,1
Myliobatis,genus,0,1,1
Nerophis,genus,0,1,1
Odondebuenia,genus,0,0,1
Oedalechilus,genus,0,1,1
Oncorhynchus,genus,1,1,1
Ophidion,genus,0,0,1
Ophisurus,genus,0,0,1
Pagellus,genus,0,1,1
Parablennius,genus,0,1,1
Parexocoetus,genus,0,0,1
Parupeneus,genus,0,0,1
Perca,genus,1,1,0
Pomatoschistus,genus,0,1,1
Pseudaphya,genus,0,0,1
Raja,genus,0,0,1
Repomucenus,genus,0,1,1
Rhinichthys,genus,1,0,0
Rhodeus,genus,1,0,0
Rutilus,genus,1,1,0
Salaria,genus,1,1,1
Salariopsis,genus,1,1,0
Salmo,genus,1,1,1
Salmonidae,family,1,1,1
Sarda,genus,0,0,1
Sardina,genus,0,0,1
Sardinella,genus,0,1,1
Sargocentron,genus,0,0,1
Sarpa,genus,0,0,1
Sciaena,genus,0,1,1
Sciaenidae,family,0,1,1
Scomber,genus,0,0,1
Scombridae,family,0,0,1
Scorpaena,genus,0,0,1
Seriola,genus,0,1,1
Serranus,genus,0,0,1
Siganus,genus,0,1,1
Sillago,genus,0,1,1
Sparidae,family,0,1,1
Sparisoma,genus,0,0,1
Sparus,genus,0,1,1
Speleogobius,genus,0,0,1
Sphyraena,genus,0,0,1
Spicara,genus,0,1,1
Spondyliosoma,genus,0,0,1
Symbolophorus,genus,0,0,1
Symphodus,genus,0,0,1
Synchiropus,genus,0,0,1
Syngnathus,genus,1,1,1
Synodus,genus,0,0,1
Thalassoma,genus,0,0,1
Thunnus,genus,0,0,1
Torpedo,genus,0,1,1
Torquigener,genus,0,1,1
Trachinus,genus,0,1,1
Trachurus,genus,0,1,1
Trichiurus,genus,0,1,1
Triglidae,family,0,1,1
Tripterygion,genus,0,0,1
Trisopterus,genus,0,1,1
Upeneus,genus,0,0,1
Uranoscopus,genus,0,0,1
Xenocyprididae,family,1,0,0
Xyrichtys,genus,0,0,1
Zebrus,genus,0,1,1
Zeus,genus,0,0,1
