genus_name,species_name
Aidablennius,Aidablennius sphynx
Aphia,Aphia minuta
Boops,Boops boops
Buglossidium,Buglossidium luteum
Capros,Capros aper
Crystallogobius,Crystallogobius linearis
Echelus,Echelus myrus
Odondebuenia,Odondebuenia balearica
Oedalechilus,Oedalechilus labeo
Pseudaphya,Pseudaphya ferreri
Sardina,Sardina pilchardus
Sarpa,Sarpa salpa
Sciaena,Sciaena umbra
Sparus,Sparus aurata
Speleogobius,Speleogobius trigloides
Spondyliosoma,Spondyliosoma cantharus
Zebrus,Zebrus zebrus
Zeus,Zeus faber
